category,title
Warfare,USS Constitution
Food and drink,Durian
Royalty and nobility,Egbert of Wessex
Warfare,HMS Eagle (1918)
Geology and geophysics,1980 eruption of Mount St. Helens
Biology,Green and golden bell frog
Biology,History of evolutionary thought
Biology,Banksia speciosa
Literature and theatre,R. V. C. Bodley
Biology,Zapata rail
Warfare,HMS Collingwood (1908)
Video gaming,Myst V: End of Ages
Food and drink,Maple syrup
Biology,Marsh rice rat
Biology,Gyromitra esculenta
Warfare,Silverplate
Transport,Federal Bridge Gross Weight Formula
Sport and recreation,Oxbow (horse)
Music,Requiem (Reger)
Transport,Interstate 805
Music,This Charming Man
Physics and astronomy,Europa (moon)
"Religion, mysticism and mythology",Alexander of Lincoln
Sport and recreation,Abe Waddington
Biology,Sea otter
Warfare,Japanese battleship Tosa
"Religion, mysticism and mythology",Thomas Cranmer
Warfare,SMS Wörth
Media,The Simpsons
Warfare,Battle of the Santa Cruz Islands
Biology,Subfossil lemur
Geography and places,"St Denys' Church, Sleaford"
History,Sinking of the RMS Titanic
Video gaming,Guitar Hero (video game)
"Business, economics, and finance",Oregon Trail Memorial half dollar
"Art, architecture, and archaeology",Oviri (Gauguin)
Health and medicine,Anti-tobacco movement in Nazi Germany
History,Murder of Julia Martha Thomas
"Business, economics, and finance",Oliver Bosbyshell
Biology,Grey currawong
Video gaming,Age of Empires
History,Red Barn Murder
"Art, architecture, and archaeology",Pennsylvania State Capitol
Warfare,Russian battleship Rostislav
Sport and recreation,Dover Athletic F.C.
Warfare,Battle of Öland
Literature and theatre,Cædmon
Health and medicine,Eli Lilly
Literature and theatre,The Thrill Book
Media,Sydney Newman
Media,The Mummy (1999 film)
History,Anne Frank
Media,How Brown Saw the Baseball Game
Literature and theatre,William Beach Thomas
Politics and government,Jane Cobden
Warfare,Omaha Beach
Warfare,Battle of Goliad
Warfare,Battle of Ramillies
Transport,Chickasaw Turnpike
Transport,SS Dakotan
History,Henry Cornelius Burnett
Transport,M-6 (Michigan highway)
Geography and places,Redwood National and State Parks
Warfare,Horses in World War I
Music,Jo Stafford
Warfare,Stanley Savige
Media,Trembling Before G-d
Transport,U.S. Route 131
Warfare,Pennsylvania-class battleship
"Art, architecture, and archaeology",Nelson's Pillar
Warfare,Sovetsky Soyuz-class battleship
Warfare,Japanese aircraft carrier Hōshō
Sport and recreation,Ian Thorpe
Transport,Forrest Highway
Chemistry and mineralogy,DNA nanotechnology
Culture and society,Daylight saving time
"Art, architecture, and archaeology",Cloud Gate
Sport and recreation,North Road (Manchester)
Warfare,Walter Peeler
Video gaming,Anachronox
Media,Kalki Koechlin
Media,B movie
Royalty and nobility,Unas
Transport,New York State Route 175
Education,Alpha Kappa Alpha
Geology and geophysics,1968 Illinois earthquake
History,Arrest and assassination of Ngo Dinh Diem
Literature and theatre,Pipe Dream (musical)
Sport and recreation,Bazy Tankersley
Royalty and nobility,Æthelwold ætheling
Warfare,Boshin War
Meteorology,Hurricane Claudette (2003)
Biology,Banksia paludosa
Meteorology,2005 Atlantic hurricane season
Music,Noye's Fludde
Biology,Australian magpie
Music,Tosca
Video gaming,Dishonored
Warfare,No. 450 Squadron RAAF
Food and drink,Medieval cuisine
Biology,Sarcoscypha coccinea
Biology,Suillus pungens
Biology,Lemur
Media,Dilwale Dulhania Le Jayenge
Warfare,Second Ostend Raid
"Religion, mysticism and mythology",Ten Commandments in Catholic theology
Warfare,Alister Murdoch
Transport,New York State Route 28
Transport,U.S. Route 30 in Iowa
Media,D. Djajakusuma
Royalty and nobility,Anna of East Anglia
Literature and theatre,Night (book)
Education,Tuck School of Business
Sport and recreation,Robin Friday
Sport and recreation,Arsenal F.C.
Biology,Huia
Meteorology,2000 Sri Lanka cyclone
Transport,"Interstate 80 Business (West Wendover, Nevada–Wendover, Utah)"
Warfare,Colin Hannah
Health and medicine,Keratoconus
Geography and places,Stretford
Warfare,Battle of Ticonderoga (1759)
Politics and government,Governor of Kentucky
Literature and theatre,Ann Bannon
Video gaming,God of War: Ghost of Sparta
Biology,Turkey vulture
Geography and places,"Washington, D.C."
Biology,Amanita muscaria
Sport and recreation,Doug Ring with the Australian cricket team in England in 1948
Warfare,SMS Grosser Kurfürst (1913)
Video gaming,StarCraft
Geography and places,Dorset
Politics and government,John Edward Brownlee sex scandal
Biology,Fork-marked lemur
Video gaming,Final Fantasy
Transport,Interstate 355
Media,Kroger Babb
Music,Alice in Chains
Warfare,Battle of Bosworth Field
Media,Subway (Homicide: Life on the Street)
Biology,Greater crested tern
Culture and society,Guy Bradley
Literature and theatre,Cosmic Stories and Stirring Science Stories
Media,WINC (AM)
Politics and government,Jerry Voorhis
"Art, architecture, and archaeology",Chetro Ketl
"Art, architecture, and archaeology",Ima Hogg
Warfare,McDonnell Douglas AV-8B Harrier II
Media,Aaron Sorkin
Geography and places,"Hillsboro, Oregon"
Chemistry and mineralogy,Hydrochloric acid
Media,Last Gasp (Inside No. 9)
History,Blackwater fire of 1937
Sport and recreation,Chicado V
Media,Goodbyeee
Meteorology,Typhoon Rusa
Video gaming,Mischief Makers
Transport,Aldwych tube station
Music,Marquee Moon
History,To the People of Texas & All Americans in the World
Biology,Percheron
Media,Sesame Street international co-productions
Literature and theatre,Tintin in the Land of the Soviets
